Loading model file ../models-mnt/open-llama/3B-v2/pytorch_model.bin
Loading vocab file ../models-mnt/open-llama/3B-v2/tokenizer.model
params: n_vocab:32000 n_embd:3200 n_mult:240 n_head:32 n_layer:26
Writing vocab...
[  1/237] Writing tensor tok_embeddings.weight                  | size  32000 x   3200  | type UnquantizedDataType(name='F16')
[185/237] Writing tensor layers.20.attention.wk.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[186/237] Writing tensor layers.20.attention.wv.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[187/237] Writing tensor layers.20.attention.wo.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[188/237] Writing tensor layers.20.attention_norm.weight        | size   3200           | type UnquantizedDataType(name='F32')
[189/237] Writing tensor layers.20.feed_forward.w1.weight       | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[190/237] Writing tensor layers.20.feed_forward.w2.weight       | size   3200 x   8640  | type UnquantizedDataType(name='F16')
[191/237] Writing tensor layers.20.feed_forward.w3.weight       | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[192/237] Writing tensor layers.20.ffn_norm.weight              | size   3200           | type UnquantizedDataType(name='F32')
[193/237] Writing tensor layers.21.attention.wq.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[194/237] Writing tensor layers.21.attention.wk.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[195/237] Writing tensor layers.21.attention.wv.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[196/237] Writing tensor layers.21.attention.wo.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[197/237] Writing tensor layers.21.attention_norm.weight        | size   3200           | type UnquantizedDataType(name='F32')
[198/237] Writing tensor layers.21.feed_forward.w1.weight       | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[199/237] Writing tensor layers.21.feed_forward.w2.weight       | size   3200 x   8640  | type UnquantizedDataType(name='F16')
[200/237] Writing tensor layers.21.feed_forward.w3.weight       | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[201/237] Writing tensor layers.21.ffn_norm.weight              | size   3200           | type UnquantizedDataType(name='F32')
[202/237] Writing tensor layers.22.attention.wq.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[203/237] Writing tensor layers.22.attention.wk.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[204/237] Writing tensor layers.22.attention.wv.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[205/237] Writing tensor layers.22.attention.wo.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[206/237] Writing tensor layers.22.attention_norm.weight        | size   3200           | type UnquantizedDataType(name='F32')
[207/237] Writing tensor layers.22.feed_forward.w1.weight       | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[208/237] Writing tensor layers.22.feed_forward.w2.weight       | size   3200 x   8640  | type UnquantizedDataType(name='F16')
[209/237] Writing tensor layers.22.feed_forward.w3.weight       | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[210/237] Writing tensor layers.22.ffn_norm.weight              | size   3200           | type UnquantizedDataType(name='F32')
[211/237] Writing tensor layers.23.attention.wq.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[212/237] Writing tensor layers.23.attention.wk.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[213/237] Writing tensor layers.23.attention.wv.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[214/237] Writing tensor layers.23.attention.wo.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[215/237] Writing tensor layers.23.attention_norm.weight        | size   3200           | type UnquantizedDataType(name='F32')
[216/237] Writing tensor layers.23.feed_forward.w1.weight       | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[217/237] Writing tensor layers.23.feed_forward.w2.weight       | size   3200 x   8640  | type UnquantizedDataType(name='F16')
[218/237] Writing tensor layers.23.feed_forward.w3.weight       | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[219/237] Writing tensor layers.23.ffn_norm.weight              | size   3200           | type UnquantizedDataType(name='F32')
[220/237] Writing tensor layers.24.attention.wq.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[221/237] Writing tensor layers.24.attention.wk.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[222/237] Writing tensor layers.24.attention.wv.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[223/237] Writing tensor layers.24.attention.wo.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[224/237] Writing tensor layers.24.attention_norm.weight        | size   3200           | type UnquantizedDataType(name='F32')
[225/237] Writing tensor layers.24.feed_forward.w1.weight       | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[226/237] Writing tensor layers.24.feed_forward.w2.weight       | size   3200 x   8640  | type UnquantizedDataType(name='F16')
[227/237] Writing tensor layers.24.feed_forward.w3.weight       | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[228/237] Writing tensor layers.24.ffn_norm.weight              | size   3200           | type UnquantizedDataType(name='F32')
[229/237] Writing tensor layers.25.attention.wq.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[230/237] Writing tensor layers.25.attention.wk.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[231/237] Writing tensor layers.25.attention.wv.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[232/237] Writing tensor layers.25.attention.wo.weight          | size   3200 x   3200  | type UnquantizedDataType(name='F16')
[233/237] Writing tensor layers.25.attention_norm.weight        | size   3200           | type UnquantizedDataType(name='F32')
[234/237] Writing tensor layers.25.feed_forward.w1.weight       | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[235/237] Writing tensor layers.25.feed_forward.w2.weight       | size   3200 x   8640  | type UnquantizedDataType(name='F16')
[236/237] Writing tensor layers.25.feed_forward.w3.weight       | size   8640 x   3200  | type UnquantizedDataType(name='F16')
[237/237] Writing tensor layers.25.ffn_norm.weight              | size   3200           | type UnquantizedDataType(name='F32')
Wrote ../models-mnt/open-llama/3B-v2/ggml-model-f16.bin
[   1/ 237]                tok_embeddings.weight -     3200 x 32000, type =    f16, quantizing .. size =   195.31 MB ->    54.93 MB | hist: 0.036 0.016 0.025 0.039 0.057 0.077 0.096 0.111 0.117 0.111 0.096 0.077 0.057 0.039 0.025 0.021 
[   2/ 237]                          norm.weight -             3200, type =    f32, size =    0.012 MB
[   3/ 237]                        output.weight -     3200 x 32000, type =    f16, quantizing .. size =   195.31 MB ->    54.93 MB | hist: 0.037 0.016 0.026 0.040 0.058 0.077 0.095 0.108 0.112 0.108 0.096 0.078 0.059 0.041 0.026 0.021 
[   4/ 237]         layers.0.attention.wq.weight -     3200 x  3200, type =    f16, quantizing .. size =    19.53 MB ->     5.49 MB | hist: 0.036 0.014 0.023 0.035 0.053 0.074 0.098 0.119 0.129 0.119 0.098 0.074 0.053 0.035 0.023 0.019 
[   5/ 237]         layers.0.attention.wk.weight -     3200 x  3200, type =    f16, quantizing .. size =    19.53 MB ->     5.49 MB | hist: 0.036 0.013 0.021 0.034 0.051 0.073 0.099 0.122 0.134 0.123 0.099 0.073 0.051 0.033 0.021 0.017 
[   6/ 237]         layers.0.attention.wv.weight -     3200 x  3200, type =    f16, quantizing .. size =    19.53 MB ->     5.49 MB | hist: 0.036 0.015 0.024 0.037 0.054 0.075 0.097 0.115 0.125 0.115 0.096 0.075 0.054 0.037 0.024 0.020 
